ensembl_gene_id,symbol,logFC,t,P.Value
ENSG00000006659,LGALS14,-2.121507797,-2.605715149,0.013353214
ENSG00000006695,COX10,-0.562099526,-1.896974455,0.066068555
ENSG00000006704,GTF2IRD1,-4.498046316,-3.534822931,0.001165346
ENSG00000006712,PAF1,-0.1735886,-0.952062615,0.347563835
ENSG00000006715,VPS41,1.103757707,4.729816821,3.58E-05
ENSG00000006740,ARHGAP44,-0.189621403,-0.237880458,0.813354466
ENSG00000006744,ELAC2,0.242130156,1.283672385,0.207651231
ENSG00000006747,SCIN,-2.157305577,-2.046490595,0.048240778
ENSG00000006756,ARSD,3.594230147,5.38190596,4.98E-06
ENSG00000006757,PNPLA4,-0.073164531,-0.09550156,0.924458621
ENSG00000006831,ADIPOR2,1.081355305,2.138715646,0.039480987
ENSG00000006837,CDKL3,0.07563621,0.201243477,0.841667767
ENSG00000007038,PRSS21,-0.241112348,-0.21571189,0.830458691
ENSG00000007047,MARK4,-0.163620512,-0.438302511,0.663847932
ENSG00000007080,CCDC124,0.159606773,0.729743021,0.470380753
ENSG00000007129,CEACAM21,-0.518539464,-1.456475242,0.154132976
ENSG00000007168,PAFAH1B1,-0.375948929,-2.348642556,0.02458983
ENSG00000007171,NOS2,-0.979942369,-1.196752776,0.239409249
ENSG00000007202,KIAA0100,0.208620939,1.12745151,0.267186155
ENSG00000007237,GAS7,5.614347113,6.067959971,6.17E-07
ENSG00000007255,TRAPPC6A,-0.662731757,-2.866574442,0.006964106
ENSG00000007264,MATK,3.733016682,9.478647897,3.22E-11
ENSG00000007312,CD79B,0.487865807,1.598311664,0.118921781
ENSG00000007314,SCN4A,0.713899529,0.558203117,0.580242708
ENSG00000007341,ST7L,-0.436232513,-2.097915839,0.04316624
ENSG00000007350,TKTL1,1.392502694,1.883662237,0.067901308
ENSG00000007372,PAX6,0.841147291,1.03248481,0.308894144
ENSG00000007376,RPUSD1,0.69258879,4.502604008,7.08E-05
ENSG00000007384,RHBDF1,0.119084344,0.117329329,0.907266679
