V1,V2
GO:0002250,IGLV3-9
GO:0002250,IGLV4-3
GO:0002250,IGLV4-60
GO:0002250,IGLV4-69
GO:0002250,IGLV5-37
GO:0002250,IGLV5-45
GO:0002250,IGLV5-52
GO:0002250,IGLV6-57
GO:0002250,IGLV7-43
GO:0002250,IGLV7-46
GO:0002250,IGLV8-61
GO:0002250,IGLV9-49
GO:0002250,IL10
GO:0002250,IL12A
GO:0002250,IL12B
GO:0002250,IL12RB1
GO:0002250,IL13RA2
GO:0002250,IL18
GO:0002250,IL18BP
GO:0002250,IL18R1
GO:0002250,IL18RAP
GO:0002250,IL1B
GO:0002250,IL1R1
GO:0002250,IL1RL1
GO:0002250,IL2
GO:0002250,IL20RB
GO:0002250,IL23A
GO:0002250,IL23R
GO:0002250,IL27
GO:0002250,IL27RA
GO:0002250,IL31RA
GO:0002250,IL33
GO:0002250,IL4
GO:0002250,IL4R
GO:0002250,IL6
GO:0002250,IL6ST
GO:0002250,IL7R
GO:0002250,INPP5D
GO:0002250,IRF1
GO:0002250,IRF4
GO:0002250,IRF7
GO:0002250,ITK
GO:0002250,JAG1
GO:0002250,JAK2
GO:0002250,JAK3
GO:0002250,JAM3
GO:0002250,JCHAIN
GO:0002250,KDELR1
GO:0002250,KLHL6
GO:0002250,KLRC4-KLRK1
GO:0002250,KLRK1
GO:0002250,LAG3
GO:0002250,LAIR1
GO:0002250,LAMP3
GO:0002250,LAT
GO:0002250,LAT2
GO:0002250,LAX1
GO:0002250,LEF1
GO:0002250,LIG4
GO:0002250,LILRA1
GO:0002250,LILRA3
GO:0002250,LILRA6
GO:0002250,LILRB1
GO:0002250,LILRB2
GO:0002250,LILRB3
GO:0002250,LILRB4
GO:0002250,LILRB5
GO:0002250,LIME1
GO:0002250,LOXL3
GO:0002250,LTA
GO:0002250,LY9
GO:0002250,LYN
GO:0002250,MAD2L2
GO:0002250,MALT1
GO:0002250,MAP3K7
GO:0002250,MARCHF8
GO:0002250,MASP2
GO:0002250,MBL2
